name,label,parent_id
118,Agra,9
466,Ahmednagar,27
467,Akola,27
119,Aligarh,9
121,Ambedkar Nagar,9
640,Amethi,9
468,Amravati,27
154,Amroha,9
122,Auraiya,9
140,Ayodhya,9
123,Azamgarh,9
124,Baghpat,9
125,Bahraich,9
126,Ballia,9
127,Balrampur,9
128,Banda,9
129,Bara Banki,9
130,Bareilly,9
131,Basti,9
470,Beed,27
179,Bhadohi,9
471,Bhandara,27
132,Bijnor,9
133,Budaun,9
134,Bulandshahr,9
472,Buldhana,27
135,Chandauli,9
473,Chandrapur,27
469,Chhatrapati Sambhajinagar,27
136,Chitrakoot,9
137,Deoria,9
488,Dharashiv,27
474,Dhule,27
138,Etah,9
139,Etawah,9
141,Farrukhabad,9
142,Fatehpur,9
143,Firozabad,9
475,Gadchiroli,27
144,Gautam Buddha Nagar,9
145,Ghaziabad,9
146,Ghazipur,9
147,Gonda,9
476,Gondia,27
148,Gorakhpur,9
149,Hamirpur,9
661,Hapur,9
150,Hardoi,9
163,Hathras,9
477,Hingoli,27
151,Jalaun,9
478,Jalgaon,27
479,Jalna,27
152,Jaunpur,9
153,Jhansi,9
155,Kannauj,9
156,Kanpur Dehat,9
157,Kanpur Nagar,9
633,Kasganj,9
158,Kaushambi,9
159,Kheri,9
480,Kolhapur,27
160,Kushinagar,9
161,Lalitpur,9
481,Latur,27
162,Lucknow,9
168,MAU,9
165,Mahoba,9
164,Mahrajganj,9
166,Mainpuri,9
167,Mathura,9
169,Meerut,9
170,Mirzapur,9
171,Moradabad,9
482,Mumbai,27
172,Muzaffarnagar,9
484,Nagpur,27
485,Nanded,27
486,Nandurbar,27
487,Nashik,27
665,Palghar,27
489,Parbhani,27
173,Pilibhit,9
174,Pratapgarh,9
120,Prayagraj,9
490,Pune,27
175,RAE Bareli,9
491,Raigad,27
176,Rampur,9
492,Ratnagiri,27
177,Saharanpur,9
659,Sambhal,9
493,Sangli,27
178,Sant Kabir Nagar,9
494,Satara,27
180,Shahjahanpur,9
660,Shamli,9
181,Shrawasti,9
182,Siddharthnagar,9
495,Sindhudurg,27
183,Sitapur,9
496,Solapur,27
184,Sonbhadra,9
185,Sultanpur,9
497,Thane,27
186,Unnao,9
187,Varanasi,9
498,Wardha,27
499,Washim,27
500,Yavatmal,27
