name,label,parent_id
874943,100 BED Combined Hospital Auraiya,842
292418,50 Beded Hospital Loni,6089
132888,A Ward Bombay Hospital,787788888
121417,A Ward Cama Allbless Hospital,787788888
125473,A Ward Colaba Dispensary,787788888
118760,A Ward Colaba HP,787788888
125789,A Ward Marutilane Dispensary,787788888
118764,A Ward Marutilane HP,787788888
118014,A Ward Paltan Road HP,787788888
125452,A Ward Saboo Siddique Dispensary,787788888
126240,A Ward Saint George Hospital,787788888
125510,A Ward Shahid Bhagat Singh Dispensary,787788888
74724,AHM DFH,849
299084,AIT Pindari PHC,855
133880,AL-HAJ Haroon Ahmad Ansari,4146
103197,ALL India Institute OF Medical Sciences Gorakhpur,950
127178,AMC Ayurvdic Medical Collage Hospital,4209
127036,AMC Civil Health Post,4209
91347,AMC G S Gune Ayurvedic Collage,4209
127064,AMC Jijamata Health Post,4209
127106,AMC Kedgaon Health Post,4209
127110,AMC Mahatma Phule Health Post,4209
127169,AMC Mukundnagar Health Post,4209
127172,AMC Nagapur Health Post,4209
127174,AMC Tofkhana Health Post,4209
109660,ASE TR,4161
100339,ASU PHC,4236
692888,ATA PHC,853
120051,Aamla Vishweshwar PHC,4013
114823,Aashegaon Purna PHC,4005
103093,Aastha Maternity AND Laproscopy Centre,821
119781,Abdul LAT PHC,4286
114865,Abloli PHC,4270
63619,Achalganj CHC,816
123605,Achalpur SDH,4004
111731,Adapalli PHC,4059
112331,Adare PHC,4269
124059,Adas PHC,4222
119739,Adawad PHC,3960
111850,Adegaon PHC,4033
115261,Adgaon PHC,3988
108836,Adgaon Raja PHC,3986
108879,Adool BU PHC,4141
108711,Adsul PHC,3977
122186,Adyal RH,4042
111809,Agalgaon PHC,4303
113127,Agalgoan PHC,4246
108693,Agar PHC,3991
100225,Agardanda PHC,4178
357627,Agauta CHC,746
120385,Aghai PHC,4167
112257,Aheri SDH,4062
807178,Ahiraula CHC,964
924936,Ahirori CHC,811
103196,Aiims Raebareli,825
118859,Ainpur PHC,3962
100837,Aishbagh Uchc,821
145038,Ajintha RH,4135
917108,Ajitnagar UPHC,882
100450,Ajiwali PHC,4173
872202,Akbarpur CHC,910
495419,Akberpur CHC,845
26550,Akhandnagar CHC,918
118055,Akluj  SDH,4250
129048,Akola Bazar PHC,4082
929402,Akola CHC,766
113105,Akola PHC,4251
123581,Akot RH,3989
100835,Alambagh Uchc,821
112212,Alapalli PHC,4062
114348,Alegaon BK PHC,4245
109101,Alegaon PHC,3993
101343,Alibag DH,4177
100836,Aliganj Uchc,821
580612,Aliya CHC,804
555587,Allahaganj CHC,796
118647,Allipur PHC,4021
111428,Alsand (Vita) PHC,4299
100334,Alur PHC,4243
109537,Amagaon TR,4157
121958,Amalner PHC,4216
303340,Amargarh CHC,883
600932,Amauli CHC,877
496099,Amawan CHC,825
122307,Ambad SDH,4129
116340,Ambada PHC,4006
131945,Ambadiphata RH,4166
130707,Ambajogai C D,4225
124649,Ambajogai UPHC,4225
117117,Ambawali PHC,4268
123412,Ambernath Chhaya SDH,4170
100651,Ambewadi PHC,4179
100093,Ambhi PHC,4237
125813,Ambika Nagar UPHC,4137
100229,Ambiwali PHC,4174
108823,Amdapur PHC,3983
428807,Amethi CHC,914
112139,Amgaon PHC,4058
127464,Amgaon RH,4047
111458,Amirza PHC,4057
117615,Amla Yendly PHC,4011
116363,Amner PHC,4007
603039,Amraudha PHC,846
215181,Amroha  PPC,730
385358,Amroha CHC,6831
110197,Amthana PHC,4135
100340,Anala PHC,4236
112367,Andhalgaon PHC,4038
112933,Andhalgaon PHC,4252
110342,Andhari PHC,4135
885109,Andhau PHC,989
108719,Andhera PHC,3985
100343,Andur PHC,4241
119801,Angaon PHC,4166
115120,Angar PHC,4248
115341,Anjangaon Bari PHC,4009
117223,Anjangaon Surji RH,4003
115722,Anjangaon Surji UPHC,4003
119276,Anjansingi PHC,4014
118478,Anjarla PHC,4267
119361,Anji PHC,4019
112227,Ankisa PHC,4063
115110,Ankoli PHC,4248
113582,Ansar Nagar UPHC,4226
116991,Ansing RH,3999
109348,Antargaon PHC,4068
119662,Antora PHC,4015
108843,Antrikhedekar PHC,3983
121603,Anturli PHC,3963
813967,Anupsahar,748
122067,Anwa PHC,4125
108591,Apatapa PHC,3991
124575,Apegaon PHC,4225
100462,Apta PHC,4173
125213,Arabgalli UPHC,4100
111483,Arag PHC,4302
119859,Arangaon PHC,4214
861232,Araon CHC,6161
269404,Araul PHC,848
120309,Ardhapur RH,4099
126364,Aref Colony UPHC,4137
121952,Arewada PHC,4061
111094,Arhar Navargaon PHC,4067
123528,Arjuni Morgaon RH,4050
123112,Arli PHC,4090
112278,Armori SDH,4053
126828,Arni RH,4088
115282,Arvi PHC,3959
123671,Arvi SDH,4017
685153,Asafpur CHC,779
116889,Asegaon PHC,3996
122010,Asgaon PHC,4042
100329,Ashata PHC,4242
118735,Ashok Nagar UHC,3991
115126,Ashti PHC,4010
121676,Ashti PHC,4131
126782,Ashti PHC,4098
115697,Ashti RH,4058
119788,Ashti RH,4015
967808,Asmc Shahjahanpur,795
289541,Asmoli CHC,721
549773,Asoha CHC,817
118445,Asud PHC,4267
108707,Atali PHC,3981
779245,Atarra CHC,873
117176,Atnoor PHC,4229
110693,Atpadi PHC,4300
600052,Atrauliya CHC,964
112900,Aurad PHC,4253
747789,Aurai CHC,999
109758,Aurala PHC,4133
119304,Aurangpura UPHC,4137
142833,Auras CHC,815
103060,Awantibai Mahila Hospital UHC,821
122705,Ayush UPHC,4032
891817,Azmatgarh PHC,965
132814,B B P J Hospital,4165
130724,B Ward JJ Hospital,787788889
127311,B Ward Jail Road Dispensary,787788889
115101,B Ward Jail Road HP,787788889
118047,B Ward Janabai Rokade HP,787788889
127309,B Ward SVP Road Dispensary,787788889
127310,B Ward Walpakhdi Dispensary,787788889
118298,B Y Hospital,4285
650700,BAR CHC,861
624578,BAR CHC,862
123521,BGW Gondia WH,4046
100849,BRD Mahanagar UPHC,821
70238,BRD Medical College  PPC,950
922144,Babai PHC,853
450728,Baberu CHC,872
516576,Babhani-CHC,1006
649361,Babhanjot CHC,931
109145,Babhulgaon PHC,3993
126911,Babhulgaon RH,4080
471446,Babina CHC,860
120055,Babulkheda UPHC,4032
121422,Babulvan UPHC,4032
147484,Bachhrawan CHC,823
495160,Badagaon CHC,860
913198,Badausa PHC,874
110301,Badegaon PHC,4026
686833,Badlapur CHC,982
126521,Badlapur Dubey SDH,4170
123352,Badlapur PHC,4170
126520,Badlapur RH,4170
122955,Badnapur RH,4128
120120,Badnera UHC,4009
351229,Badokhar Khurd PHC,871
112871,Badriplot UPHC,3965
111090,Bagani PHC,4296
594450,Baghaira Nphc,856
356630,Baghauli PHC,942
381023,Baghrai CHC,881
383554,Bahadurpur CHC,939
363342,Bahadurpur CHC,889
861810,Bahariya CHC,889
796054,Baheri CHC,873
379071,Bahjoi CHC,722
124401,Baijipura UPHC,4137
115950,Bairagad PHC,4001
649432,Baitalpur PHC,959
