name,label,parent_id
1510,Abhauli,997
000572,Abholi,997
297922,Achal Ganj,816
4298,Achalpur,4004
803,Achhnera,767
988,Afzalgarh,715
1017,Agauta,746
249062,Agra,766
4431,Ahemadpur,4228
4371,Aheri,4062
1195,Ahirori,811
1103,Airayan,879
4419,Ajara,4292
249357,Ajhuwa,885
860,Ajitmal,6877
4474,Akarani,3951
850,Akbarpur,910
1266,Akbarpur,845
1577,Akhand Nagar,918
4578,Akkalkot,4254
4473,Akkalkuwa,3950
300383,Akluj,4250
4291,Akola,3991
4277,Akole,4201
4292,Akot,3989
251503,Alibag,4177
1063,Aliganj,1007
277256,Allahabad,890
4396,Amalner,3969
1439,Amariya,6867
4411,Ambad,4129
4321,Ambajogai,4225
4511,Ambegaon,4188
4589,Ambernath,4170
4383,Amgaon,4047
4299,Amravati,4009
1267,Amrodha,846
1252,Amroha,6831
249439,Anandnagar,946
4300,Anjangaon S,4003
1018,Anupshahr,748
1116,Araon,6161
4457,Ardhapur,4099
4384,Arjuni Morgaon,4050
4372,Armori,4053
4618,Arni,4088
4604,Arvi,4017
1000,Asafpur,779
4322,Ashti,4215
4605,Ashti,4015
276380,Ashti (Wardha),4015
626521,Asmoli,721
4549,Atpadi,4300
819,Atrauli,754
4391,Aundha Nagnath,4113
1511,Aurai,999
861,Auraiya,842
251428,Aurangabad,4137
1601,Auras,815
4432,Ausa,4232
1065,Awagarh,1009
249074,BAH,770
1323,BAR,862
263351,BKT,820
635672,Babai,853
249269,Babarpur Ajitmal,6877
1153,Babhanjot,931
4619,Babhulgaon,4080
1464,Bachharawan,823
248947,Bachhraon,729
249313,Bada Gaon,860
1245,Badagaon,860
1223,Badla PUR,982
4412,Badnapur,4128
935,Badokhar Khurd,871
888,Baghpat,736
4479,Baglan,4145
249513,Bahadurganj,6834
1465,Bahadurpur,824
249410,Bahraich,921
1047,Baitalpur,959
1224,Baksha,984
1329,Bakshi-KA-Talab,820
4293,Balapur,3990
1369,Baldeo,763
1579,Baldirai,6868
4352,Ballarpur,4074
1247,Bangra,859
943,Banki,898
909,Bansdih,979
1617,Baragaon,995
4512,Baramati,4199
1225,Barasathi,985
889,Baraut,735
249181,Barbar,800
249149,Bareilly,787
1049,Barhaj,961
1096,Barhpur,832
1078,Barhpura,838
249043,Barsana,6832
4579,Barshi,4246
4294,Barshitakli,3994
4392,Basmat,4115
251413,Basmath,4115
4323,Beed,4221
248870,Behat,701
1197,Behendar,813
1580,Bhadaiya,917
1581,Bhadar,914
4397,Bhadgaon,3971
961,Bhadpura,788
4353,Bhadrawati,4070
4373,Bhamaragad,4061
4332,Bhandara,4039
1138,Bhanwarkol,990
1199,Bharkhani,810
4301,Bhatkuli,4010
1053,Bhatpar Rani,963
1276,Bhitargaon,6163
1107,Bhitaura,878
852,Bhiti,911
4444,Bhivapur,4036
4458,Bhokar,4102
4413,Bhokardan,4125
4494,Bhoom,4237
4513,Bhor,4198
4421,Bhudargad,4291
4398,Bhusawal,3965
963,Bhuta,789
1604,Bighapur,818
1087,Bikapur,906
869,Bilariyaganj,965
1484,Bilaspur,725
4459,Biloli,4105
1441,Bilsanda,791
1324,Birdha,6881
936,Bisanda,873
1552,Biswan,806
4399,Bodwad,3964
4354,Brahmapuri,4067
4339,Buldana,3984
1174,Campierganj,948
1034,Chahniya,992
1081,Chakarnagar,840
4433,Chakur,4230
4400,Chalisgaon,3972
4374,Chamorshi,4058
1036,Chandauli,993
821,Chandaus,753
248937,Chandausi,722
4422,Chandgad,4294
4355,Chandrapur,4071
4303,Chandur BZ,4005
4480,Chandwad,4148
1356,Charkhari,869
1370,Chaumuha,761
1417,Chhajlet,718
534912,Chheriya,852
4304,Chikhaldara,4002
4340,Chikhli,3983
912,Chilkahar,977
4356,Chimur,4065
4540,Chipalun,4269
251602,Chiplun,4269
1248,Chirgaon,856
249342,Chitrakoot Dham - Karwi,875
1571,Chopan,7127
4401,Chopda,3960
249543,Chunar,1003
4341,D. Raja,3985
1469,DIH,829
1126,Dadri,742
1518,Dadrol,795
4591,Dahanu,4158
500096,Dakor,854
1214,Dakore,854
1127,Dankaur,743
1022,Danpur,749
4541,Dapoli,4267
944,Dariyabad,900
4620,Darwha,4083
4305,Daryapur,4011
1003,Dataganj,783
251331,Dattapur Dhamangaon,4014
4514,Daund,4195
1388,Daurala,732
1468,Deenshah Gaura,827
4460,Deglur,4110
1491,Deoband,704
4570,Deogad,4275
4481,Deola,4144
4606,Deoli,4020
4434,Deoni,4234
4385,Deori,4051
4375,Desaiganj (Wadsa),4052
1139,Devkali,988
4306,Dhamangaon RIL,4014
1253,Dhanaura,729
4376,Dhanora,4056
833,Dhanupur,893
4402,Dharangaon,3968
4461,Dharmabad,4104
4307,Dharni,4001
4324,Dharur,4223
1130,Dhaulana,6032
1297,Dhaurhara,802
4367,Dhule,3959
4621,Digras,4084
4482,Dindori,4149
4571,Dodamarg,4282
1540,Domariyaganj,936
1585,Dubepur,915
1117,EKA,773
249263,Ekdil,838
1531,Ekona,924
4403,Erandol,3967
4377,Etapalli,4060
249059,Etmadpur,765
277263,Faizabad,905
1372,Farah,764
809,Fatehabad,769
967,Fatehganj West,785
1381,Fatehpur Madaun,972
1118,Firozabad,772
4378,Gadchiroli,4057
4423,Gadhinglaj,4293
4420,Gagan Bavada,4288
4502,Gangakhed,4122
4313,Gangapur,4140
1255,Gangeshwari,731
1606,Ganj Moradabad,6160
249211,Ganj Muradabad,6160
914,Garwar,978
1450,Gaura,884
1056,Gauri Bazar,960
4325,Georai,4218
4414,Ghansawangi,4130
4622,Ghatanji,4089
248988,Ghaziabad,6089
1140,Ghazipur,989
249105,Ghiraur,6873
1362,Ghiror,6873
1382,Ghosi,971
274823,Gnida,743
249179,Gola Gokarannath,799
4386,Gondia,4046
1553,Gondlamau,808
4357,Gondpipri,4078
249537,Gopi Ganj,998
249444,Gorakhpur,950
4387,Goregaon,4045
251488,Greater Mumbai,787788889
4542,Guhagar,4270
1004,Gunnaur,778
1249,Gursarai,857
1514,Gyanpur,998
4462,Hadgaon,4098
1157,Haldharmau,929
783698,Hanuman Nagar Zone 03,4032
1132,Hapur,740
1533,Hariharpur Rani,923
928,Harriya Satgharwa,925
4424,Hatkanangale,4285
4515,Haveli,4193
4463,Himayatnagar,4097
276606,Himayatnagar Nagarpanchayat,4097
4607,Hinganghat,4021
4445,Hingna,4033
4393,Hingoli,4112
4483,Igatpuri,4153
825,Iglas,756
249413,Ikauna,924
4516,Indapur,4200
1005,Islamnagar,780
1158,Itiathok,928
4415,Jafrabad,4126
1471,Jagatpur,828
854,Jahangir Ganj,908
812,Jaitpur Kalan,770
1141,Jakhania,987
855,Jalal PUR,909
1520,Jalalabad,796
1215,Jalaun,852
823583,Jalgaon Corporation,3966
4342,Jalgaonjamod,3975
992,Jalilpur,716
4435,Jalkot,4229
4416,Jalna,4127
4278,Jamkhed,4214
4405,Jamner,3974
1589,Jamo,913
1534,Jamunaha,6164
1428,Jansath,711
836,Jasra,891
1082,Jaswantnagar,836
4550,Jath,4304
4559,Jawali,4263
826,Jawan Sikanderpur,755
299023,Jawan Sikandpur,755
4592,Jawhar,4160
1128,Jewar,744
263354,Jheenjhak,844
1269,Jhinjhak,844
4503,Jintur,4117
4358,Jiwati,4076
1257,Joya,730
4517,Junnar,4187
1403,KON,1000
1358,Kabrai,870
4551,Kadegaon,4298
4425,Kagal,4290
4326,Kaij,4222
1429,Kairana,706
1280,Kakwan,849
4495,Kalamb,4239
4623,Kalamb,4081
4394,Kalamnuri,4114
4446,Kalmeshwar,4025
251483,Kalyan-Dombivli,4168
938,Kamasin,872
4447,Kamptee,4030
4314,Kanand,4133
4464,Kandhar,4108
4572,Kankavali,4277
1262,Kannauj,834
248926,Kanth(Moradabad),718
1287,Kara,885
4560,Karad,4265
4612,Karanja,3997
4608,Karanja,4016
837,Karchhana,892
1364,Karhal,776
4279,Karjat,4213
4526,Karjat,4174
7381,Karma,1004
4580,Karmala,4244
4426,Karveer,4287
1313,Kasaya,957
1143,Kasimabad,6834
4448,Katol,4024
1179,Kauri RAM,952
4552,Kavathemahankal,4303
4624,Kelapur,4090
1230,Kerakat,986
1314,Khadda,6878
249348,Khaga,879
827,Khair,752
1556,Khairabad,804
1180,Khajni,953
4527,Khalapur,4175
4343,Khamgaon,3981
4553,Khanapur-Vita,4299
4561,Khandala,4257
813,Khandauli,765
1431,Khatauli,710
4562,Khatav,4260
4518,Khed,4190
4543,Khed,4268
892,Khekra,737
4315,Khultabad,4138
