name,label,parent_id
787788888,A Ward,482
4004,Achalpur,468
766,Agra,118
4062,Aheri,475
4228,Ahmadpur,481
6877,Ajitmal,122
4292,Ajra,480
845,Akbarpur,156
910,Akbarpur,121
4254,Akkalkot,496
3950,Akkalkuwa,486
3991,Akola,467
4201,Akole,466
3989,Akot,467
3951,Akrani,486
4177,Alibag,491
1007,Aliganj,138
890,Allahabad,120
908,Allapur,121
3969,Amalner,478
6867,Amariya,173
4129,Ambad,479
4170,Ambarnath,497
4188,Ambegaon,490
4225,Ambejogai,470
914,Amethi,640
4047,Amgaon,476
4009,Amravati,468
831,Amritpur,141
730,Amroha,154
4003,Anjangaon Surji,468
748,Anupshahr,134
786,Aonla,130
4099,Ardhapur,485
4050,Arjuni Morgaon,476
4053,Armori,475
4088,Arni,500
4017,Arvi,498
4015,Ashti,498
4215,Ashti,470
873,Atarra,128
4300,Atpadi,493
754,Atrauli,119
4113,Aundha (Nagnath),477
999,Aurai,179
842,Auraiya,122
4232,Ausa,481
966,Azamgarh,123
787788889,B Ward,482
770,BAH,118
872,Baberu,128
4080,Babulgaon,500
982,Badlapur,152
4128,Badnapur,479
736,Baghpat,124
4145,Baglan,487
784,Baheri,130
921,Bahraich,125
980,Bairia,126
820,Bakshi KA Talab,162
3990,Balapur,467
6868,Baldirai,185
4074,Ballarpur,473
978,Ballia,126
925,Balrampur,127
871,Banda,128
6160,Bangarmau,186
979,Bansdih,126
952,Bansgaon,148
934,Bansi,182
891,Bara,120
4199,Baramati,490
735,Baraut,124
787,Bareilly,130
961,Barhaj,137
4246,Barshi,496
3994,Barshitakli,467
939,Basti,131
4221,Beed,470
701,Behat,177
975,Belthara Road,126
3971,Bhadgaon,478
997,Bhadohi,179
4070,Bhadravati,473
4061,Bhamragad,475
4039,Bhandara,471
839,Bharthana,139
4010,Bhatkuli,468
963,Bhatpar Rani,137
923,Bhinga,181
911,Bhiti,121
4166,Bhiwandi,497
4036,Bhiwapur,484
777,Bhogaon,166
846,Bhognipur,156
4102,Bhokar,485
4125,Bhokardan,479
4198,Bhor,490
4291,Bhudargad,480
4237,Bhum,488
3965,Bhusawal,478
841,Bidhuna,122
818,Bighapur,186
713,Bijnor,132
906,Bikapur,140
720,Bilari,171
725,Bilaspur,176
812,Bilgram,150
848,Bilhaur,157
4105,Biloli,485
780,Bilsi,133
877,Bindki,142
791,Bisalpur,173
779,Bisauli,133
806,Biswan,183
3964,Bodvad,478
4067,Brahmapuri,473
782,Budaun,133
709,Budhana,172
746,Bulandshahr,134
3984,Buldana,472
964,Burhanpur,123
787788890,C Ward,482
948,Campierganj,148
887,Chail,158
840,Chakarnagar,139
994,Chakia,135
4230,Chakur,481
3972,Chalisgaon,478
4058,Chamorshi,475
993,Chandauli,135
722,Chandausi,659
4294,Chandgad,480
716,Chandpur,132
4071,Chandrapur,473
4013,Chandur Railway,468
4005,Chandurbazar,468
4148,Chandvad,487
869,Charkhari,165
951,Chauri Chaura,148
761,Chhata,167
4137,Chhatrapati Sambhajinagar,469
833,Chhibramau,155
4002,Chikhaldara,468
3983,Chikhli,472
4065,Chimur,473
4269,Chiplun,492
3960,Chopda,478
1003,Chunar,170
929,Colonelganj,147
787788891,D Ward,482
742,Dadri,144
4158,Dahanu,665
827,Dalmau,175
4267,Dapoli,492
4083,Darwha,500
4011,Daryapur,468
783,Dataganj,133
4195,Daund,490
749,Debai,134
4110,Deglur,485
704,Deoband,177
4144,Deola,487
3985,Deolgaon Raja,472
4020,Deoli,498
4234,Deoni,481
4051,Deori,476
959,Deoria,137
844,Derapur,156
4052,Desaiganj (Vadasa),475
4275,Devgad,495
4014,Dhamangaon Railway,468
715,Dhampur,132
729,Dhanaura,154
4056,Dhanora,475
3968,Dharangaon,478
4240,Dharashiv,488
4104,Dharmabad,485
4001,Dharni,468
4223,Dharur,470
6032,Dhaulana,661
802,Dhaurahara,159
3959,Dhule,474
4084,Digras,500
4149,Dindori,487
4282,Dodamarg,495
936,Domariyaganj,182
1006,Dudhi,184
787788892,E Ward,482
3967,Erandol,478
1008,Etah,138
4060,Etapalli,475
838,Etawah,139
765,Etmadpur,118
787788893,F North Ward,482
787788894,F South Ward,482
905,Faizabad,140
789,Faridpur,130
832,Farrukhabad,141
769,Fatehabad,118
878,Fatehpur,142
896,Fatehpur,129
772,Firozabad,143
787788895,G North Ward,482
787788896,G South Ward,482
753,Gabhana,119
4057,Gadchiroli,475
4293,Gadhinglaj,480
4288,Gaganbawada,480
4122,Gangakhed,489
4140,Gangapur,469
857,Garautha,153
741,Garhmukteshwar,661
913,Gauriganj,640
743,Gautam Buddha Nagar,144
4218,Georai,470
943,Ghanghata,178
4130,Ghansawangi,479
850,Ghatampur,157
4089,Ghatanji,500
739,Ghaziabad,145
989,Ghazipur,146
6873,Ghiror,166
1004,Ghorawal,184
971,Ghosi,168
954,Gola,148
799,Gola Gokaran Nath,159
928,Gonda,147
4046,Gondiya,476
4078,Gondpipri,473
950,Gorakhpur,148
4045,Goregaon,476
6832,Govardhan,167
4270,Guhagar,492
778,Gunnaur,659
998,Gyanpur,179
787788897,H East Ward,482
787788898,H West Ward,482
4098,Hadgaon,485
901,Haidergarh,129
864,Hamirpur,149
893,Handia,120
740,Hapur,661
811,Hardoi,150
938,Harraiya,131
815,Hasanganj,186
731,Hasanpur,154
956,Hata,160
759,Hathras,163
4285,Hatkanangle,480
4193,Haveli,490
4097,Himayatnagar,485
4021,Hinganghat,498
4033,Hingna,484
4112,Hingoli,477
4153,Igatpuri,487
756,Iglas,119
924,Ikauna,181
4200,Indapur,490
935,Itwa,182
4304,JAT,493
4126,Jafrabad,479
916,Jaisinghpur,185
987,Jakhania,146
796,Jalalabad,180
909,Jalalpur,121
852,Jalaun,151
1009,Jalesar,138
3966,Jalgaon,478
3975,Jalgaon (Jamod),472
4229,Jalkot,481
4127,Jalna,479
4214,Jamkhed,466
3974,Jamner,478
6164,Jamunaha,181
711,Jansath,172
4263,Jaoli,494
773,Jasrana,143
836,Jaswantnagar,139
984,Jaunpur,152
4160,Jawhar,665
744,Jewar,144
860,Jhansi,153
4117,Jintur,489
4076,Jiwati,473
4187,Junnar,490
787788899,K East Ward,482
787788900,K West Ward,482
4298,Kadegaon,493
918,Kadipur,185
4290,Kagal,480
4222,Kaij,470
830,Kaimganj,141
706,Kairana,660
922,Kaiserganj,125
4081,Kalamb,500
4239,Kalamb,488
4025,Kalameshwar,484
4114,Kalamnuri,477
6882,Kalan,180
6866,Kalinagar,173
853,Kalpi,151
4143,Kalwan,487
4168,Kalyan,497
4030,Kamptee,484
4108,Kandhar,485
4277,Kankavli,495
4133,Kannad,469
834,Kannauj,155
849,Kanpur,157
718,Kanth,171
6879,Kaptanganj,160
4265,Karad,494
3997,Karanja,499
4016,Karanja,498
892,Karchhana,120
776,Karhal,166
4174,Karjat,491
4213,Karjat,466
4244,Karmala,496
4287,Karvir,480
875,Karwi,136
1010,Kasganj,633
6834,Kasimabad,146
957,Kasya,160
4024,Katol,484
4303,Kavathemahankal,493
4090,Kelapur,500
986,Kerakat,152
6878,Khadda,160
879,Khaga,142
752,Khair,119
953,Khajni,148
4175,Khalapur,491
942,Khalilabad,178
3981,Khamgaon,472
4299,Khanapur,493
4257,Khandala,494
710,Khatauli,172
4260,Khatav,494
4190,Khed,490
4268,Khed,492
737,Khekada,124
768,Kheragarh,118
4138,Khuldabad,469
751,Khurja,134
4096,Kinwat,485
767,Kiraoli,118
6872,Kishni,166
755,Koil,119
855,Konch,151
4203,Kopargaon,466
895,Koraon,120
4055,Korchi,475
4261,Koregaon,494
4075,Korpana,473
4280,Kudal,495
4035,Kuhi,484
868,Kulpahar,165
881,Kunda,174
6874,Kurawali,166
4054,Kurkheda,475
787788901,L Ward,482
805,Laharpur,183
4043,Lakhandur,471
4041,Lakhani,471
801,Lakhimpur,159
1001,Lalganj,170
969,Lalganj,123
880,Lalganj,174
826,Lalganj,175
862,Lalitpur,161
917,Lambhua,185
4273,Lanja,492
4226,Latur,481
4107,Loha,485
4242,Lohara,488
3987,Lonar,472
6089,Loni,145
787788902,M East Ward,482
787788903,M West Ward,482
4259,MAN,494
762,MAT,167
876,MAU,136
4072,MUL,473
983,Machhlishahr,152
4245,Madha,496
851,Madhogarh,151
972,Madhuban,168
4255,Mahabaleshwar,494
4185,Mahad,491
4087,Mahagaon,500
823,Maharajganj,175
947,Maharajganj,164
920,Mahasi,125
763,Mahavan,167
807,Mahmudabad,183
870,Mahoba,165
6880,Maholi,183
863,Mahroni,161
4095,Mahur,485
775,Mainpuri,166
6871,Maitha,156
4219,Majalgaon,470
3995,Malegaon,499
4146,Malegaon,487
819,Malihabad,162
3979,Malkapur,472
4250,Malshiras,496
4278,Malwan,495
4266,Mandangad,492
4252,Mangalvedhe,496
4181,Mangaon,491
3996,Mangrulpir,499
5930,Manikpur,136
886,Manjhanpur,158
931,Mankapur,147
3998,Manora,499
4132,Mantha,479
4119,Manwath,489
4092,Maregaon,500
985,Mariahu,152
1002,Marihan,170
6165,Martinganjon,123
764,Mathura,167
4029,Mauda,484
867,Maudaha,149
973,Maunath Bhanjan,168
859,Mauranipur,153
4191,Mawal,490
733,Mawana,169
6369,Mdawara,161
785,Meerganj,130
734,Meerut,169
941,Mehdawal,178
3982,Mehkar,472
970,Mehnagar,123
894,Meja,120
4184,Mhasla,491
6862,Mihinpurwa Motipur,125
728,Milak,176
903,Milkipur,140
4302,Miraj,493
1000,Mirzapur,170
803,Misrikh,183
6875,Mitauli,159
738,Modinagar,145
4038,Mohadi,471
990,Mohammadabad,146
800,Mohammdi,159
822,Mohanlalganj,162
4248,Mohol,496
4161,Mokhada,665
719,Moradabad,171
4006,Morshi,468
3980,Motala,472
856,Moth,153
4101,Mudkhed,485
974,Muhammadabad Gohna,168
4109,Mukhed,485
